Location,Rating,Reviews,City,State,Date Collected
Spavia Alamo Ranch,4.8,497,San Antonio,TX,2026-03-13
Spavia Ankeny,4.8,570,Ankeny,IA,2026-03-13
Spavia Ann Arbor,4.9,664,Ann Arbor,MI,2026-03-13
Spavia Apple Valley,4.9,452,Apple Valley,MN,2026-03-13
Spavia Austin Landing,4.8,1083,Dayton,OH,2026-03-13
Spavia Nashville,4.8,219,Nashville,TN,2026-03-13
Spavia Belmar,5.0,73,Lakewood,CO,2026-03-13
Spavia Blue Oaks,4.9,476,Roseville,CA,2026-03-13
Spavia Boulder,4.7,439,Boulder,CO,2026-03-13
Spavia Bradburn,4.7,509,Westminster,CO,2026-03-13
Spavia Bridge Park,4.8,520,Dublin,OH,2026-03-13
Spavia Central Park,4.8,455,Denver,CO,2026-03-13
Spavia Chamblee,4.7,243,Chamblee,GA,2026-03-13
Spavia Chimney Rock,4.5,223,Houston,TX,2026-03-13
Spavia Cinco Ranch,4.9,534,Katy,TX,2026-03-13
Spavia Clark Commons,4.6,297,Clark,NJ,2026-03-13
Spavia Elmhurst,4.8,355,Elmhurst,IL,2026-03-13
Spavia Estero,4.9,444,Estero,FL,2026-03-13
Spavia Fairfield,4.8,349,Fairfield,CT,2026-03-13
Spavia Fishers,4.8,616,Fishers,IN,2026-03-13
Spavia Fort Collins,4.8,755,Fort Collins,CO,2026-03-13
Spavia Greater Morristown,4.7,233,Morristown,NJ,2026-03-13
Spavia Greenlake,4.7,324,Seattle,WA,2026-03-13
Spavia Greenville,5.0,69,Greenville,SC,2026-03-13
Spavia Greenwood Village,4.7,215,Greenwood Village,CO,2026-03-13
Spavia Guilford Commons,4.9,469,Guilford,CT,2026-03-13
Spavia Hulen Center,4.9,658,Fort Worth,TX,2026-03-13
Spavia King of Prussia,4.7,564,King of Prussia,PA,2026-03-13
Spavia Lafayette,4.9,625,Lafayette,LA,2026-03-13
Spavia LBX,4.1,68,Long Beach,CA,2026-03-13
Spavia Lincoln Park,4.8,693,Chicago,IL,2026-03-13
Spavia Littleton,4.9,378,Littleton,MA,2026-03-13
Spavia Longmont,4.8,804,Longmont,CO,2026-03-13
Spavia Lowry Town Center,4.8,676,Denver,CO,2026-03-13
Spavia MacGregor Village,4.8,439,Cary,NC,2026-03-13
Spavia Maple Grove,4.8,1451,Maple Grove,MN,2026-03-13
Spavia Minnetonka,4.8,358,Minnetonka,MN,2026-03-13
Spavia Moorestown,4.6,818,Moorestown,NJ,2026-03-13
Spavia Naples,4.9,761,Naples,FL,2026-03-13
Spavia Natick,4.9,632,Natick,MA,2026-03-13
Spavia Old Alabama Square,4.9,198,Johns Creek,GA,2026-03-13
Spavia Austin,4.7,563,Austin,TX,2026-03-13
Spavia Orchard Town Center,4.7,366,Westminster,CO,2026-03-13
Spavia Park Meadows,4.9,763,Centennial,CO,2026-03-13
Spavia Pleasant Hill,4.7,171,Pleasant Hill,CA,2026-03-13
Spavia Ponte Vedra,4.8,211,Ponte Vedra,FL,2026-03-13
Spavia Ridgewood,4.7,130,Ridgewood,NJ,2026-03-13
Spavia Rookwood,4.6,450,Norwood,OH,2026-03-13
Spavia Sandy,4.7,984,Sandy,UT,2026-03-13
Spavia SouthPark,4.8,470,Charlotte,NC,2026-03-13
Spavia Sparta,4.9,831,Sparta,NJ,2026-03-13
Spavia Springfield,4.8,361,Springfield,IL,2026-03-13
Spavia Stamford,4.7,499,Stamford,CT,2026-03-13
Spavia Strongsville,4.8,442,Strongsville,OH,2026-03-13
Spavia Reno,4.9,1044,Reno,NV,2026-03-13
Spavia The Collection,4.9,325,Forsyth County,GA,2026-03-13
Spavia Thornwood,4.9,679,Thornwood,NY,2026-03-13
Spavia West Boca,4.8,275,Boca Raton,FL,2026-03-13
Spavia Topeka,4.9,48,Topeka,KS,2026-03-13
Spavia West Loop,4.8,176,Chicago,IL,2026-03-13
Spavia West Plano,4.8,930,Plano,TX,2026-03-13
Spavia Winter Park,4.9,1052,Winter Park,FL,2026-03-13
